client_id,age,income,balance,nb_transactions_last_month,default_history,fraud_flag,churn_risk,customer_since,last_interaction,text_interaction
1,69,35293.55,6718.69,5,0,0,0.25,2024-08-03,2025-11-02,Adult federal material director human manage call song focus road free along activity especially mind green.
2,32,33529.62,-893.31,81,0,0,0.976,2020-06-05,2025-11-28,Human exist never tree sea somebody question education.
3,78,66520.0,8686.25,28,0,0,0.489,2022-11-07,2025-11-10,Opportunity dark ever human see line listen yourself much people.
4,38,56955.3,12163.59,88,0,0,0.937,2016-11-06,2025-11-15,Major stop ask necessary without discover often news society less majority relate hospital.
5,41,31639.38,14960.71,108,1,0,0.429,2022-01-03,2025-11-09,Hard figure perhaps and product fund culture around off heart put nice.
6,20,44477.93,8482.1,119,0,0,0.324,2025-07-22,2025-11-01,Question possible ability prove stop expert while toward arm.
7,39,56163.13,17431.93,1,0,0,0.362,2018-09-13,2025-11-04,Address drug black debate tax authority year girl floor.
8,70,31634.79,7824.78,107,0,0,0.884,2021-11-01,2025-11-17,Not anyone necessary general senior space son onto hand analysis.
9,19,20743.34,1716.06,63,0,0,0.331,2019-07-19,2025-11-02,Business smile evening glass area green treatment.
10,47,15047.12,7720.23,95,0,0,0.669,2021-02-04,2025-11-04,Happen art traditional prove pretty here center although wait economic run energy.
11,55,61084.0,6971.64,35,0,0,0.47,2022-08-18,2025-11-16,First effort grow series tend win me attorney book class community.
12,19,39134.06,10580.79,95,0,0,0.942,2017-01-22,2025-11-15,Ten employee begin force move lot anyone write.
13,81,46369.88,9353.13,104,1,0,0.159,2023-11-28,2025-11-16,Country purpose staff audience article produce color exactly system project while hair book exactly.
14,77,33386.44,8996.37,19,0,0,0.429,2019-07-10,2025-11-05,Challenge book education remember campaign same anything pull describe how natural agreement receive present when generation.
15,38,22981.52,12834.55,54,0,0,0.125,2016-10-21,2025-11-10,Read pay more claim perhaps bring allow trouble view grow my huge dog by water.
16,50,25780.49,5850.21,36,0,0,0.578,2019-02-19,2025-11-24,The style treatment miss side environment simple happen shake he well.
17,75,21884.48,10693.62,105,0,0,0.403,2021-09-13,2025-11-28,Agency public officer down son young toward fine although such hold.
18,39,54749.92,9404.33,101,0,0,0.061,2019-08-24,2025-11-12,Yourself space relationship administration relate thus challenge return bill hundred tonight.
19,66,64388.42,8569.73,96,1,0,0.85,2020-08-21,2025-11-26,Into official church weight learn throw exist market people he anything tree both.
20,76,42558.66,7671.48,51,0,0,0.376,2020-02-21,2025-11-27,Tell change attorney current east lay determine already either.
21,135,19233.01,1643.6,68,0,0,0.494,2017-09-17,2025-11-16,Last rise coach officer growth as television city above.
22,77,49448.76,6730.44,69,0,0,0.408,2024-04-25,2025-11-20,Indeed build standard pull game specific out who reveal response although people.
23,32,60974.77,7051.03,21,1,0,0.489,2025-07-23,2025-11-20,Break certainly international keep boy build what together bank discover brother still operation.
24,79,56575.0,4386.38,84,0,0,0.016,2016-09-13,2025-11-07,Tonight letter return relationship rock it action first follow call claim adult sort.
25,79,41563.03,1210.57,82,0,0,0.815,2024-09-27,2025-11-17,Morning establish step provide whose theory recent newspaper.
26,64,38482.77,5217.38,106,0,0,0.332,2024-02-11,2025-11-09,Past despite night such single middle reflect student large factor.
27,79,41442.51,5632.87,14,0,0,0.724,2024-04-01,2025-11-09,Staff structure cut tough reduce should former run interview red time guy father then cut.
28,68,60378.74,1298.44,97,0,0,0.065,2025-07-24,2025-11-12,Success walk treatment each budget treat government especially.
29,72,53405.48,1293.21,46,0,0,0.524,2022-08-12,2025-11-18,Best decision line fine necessary air PM trouble wonder it.
30,81,36213.65,-2459.71,70,0,0,0.909,2021-03-24,2025-11-03,Court team couple per understand teach put crime accept admit.
31,20,35836.27,9475.37,80,0,0,0.398,2021-11-24,2025-11-08,Small father end class fast coach assume shoulder.
32,68,34774.57,12890.18,107,0,0,0.197,2016-03-01,2025-11-04,Friend easy line watch up cost series them through part.
33,24,26030.51,8080.51,107,0,0,0.099,2022-03-14,2025-11-23,Later too office relationship level say military purpose act couple push five.
34,38,62277.57,5978.43,68,0,0,0.859,2020-09-17,2025-11-12,It class career picture cause whose agreement party organization describe various occur.
35,56,30182.64,1049.96,51,0,0,0.239,2019-09-13,2025-11-07,Food simple task surface visit effort store dark structure ok.
36,35,49354.14,-3024.4,38,0,0,0.975,2018-06-12,2025-11-22,Employee couple single possible thousand player strategy movement who country identify leave order.
37,21,32078.59,7835.13,1,0,0,0.248,2018-03-18,2025-11-24,Ask memory experience nothing anyone over after billion letter.
38,77,34841.64,11078.34,90,0,0,0.481,2022-11-01,2025-11-09,Six fight less yard whom accept kind little tough arm parent.
39,31,40291.79,3837.96,44,0,0,0.458,2020-03-03,2025-11-15,School message range your wrong stuff himself business investment may exactly.
40,26,50178.64,13277.05,23,0,0,0.062,2017-03-16,2025-11-21,I realize course middle glass general fish sister charge image opportunity music market.
41,70,38111.64,4555.56,104,0,0,0.532,2023-09-02,2025-11-04,Avoid word Republican ever movie for language form.
42,19,24911.92,13424.99,60,0,0,0.673,2020-10-18,2025-11-06,Prove bit agent say education sometimes better these measure hold tax song report use.
43,77,42286.22,4096.02,110,0,0,0.742,2019-06-03,2025-11-24,Plant eight degree they organization join condition performance public.
44,61,30499.92,-5314.66,91,1,0,0.523,2020-12-22,2025-11-17,Off somebody professional history floor firm Republican increase state nation direction.
45,25,65157.57,11131.78,110,1,0,0.813,2022-11-08,2025-11-13,Style treat idea stop head exactly agreement wall collection.
46,64,38100.83,3385.77,64,0,0,0.752,2017-02-10,2025-11-22,Add determine factor discover half sound for out day fall.
47,52,31980.46,287.68,52,0,0,0.194,2025-07-16,2025-11-28,Fall similar here left ahead color Mrs save student.
48,53,,10407.97,115,0,0,0.402,2022-03-28,2025-11-10,Today reduce along key rule speak film bill enjoy either future night boy close doctor too.
49,67,53083.35,3553.15,20,0,0,0.143,2022-01-03,2025-11-21,Marriage common final might pick yet organization push star war.
50,21,28548.39,935.5,91,0,0,0.133,2020-05-13,2025-11-03,Resource learn here participant throw traditional recently against idea water statement your environmental fly throw.
51,19,30136.29,14557.05,66,0,0,0.712,2025-05-26,2025-11-16,Instead art thus than relate green debate lot.
52,23,49112.74,6976.26,93,0,0,0.53,2020-05-28,2025-11-25,
53,71,42652.14,824.54,0,0,0,0.601,2016-01-21,2025-11-28,Best improve situation third loss brother city myself economy treatment note strategy.
54,21,55352.63,5684.36,58,0,0,0.732,2018-12-13,2025-11-19,Popular soldier break several between meet democratic walk mission baby although.
55,71,32059.86,18662.82,114,0,0,0.277,2018-08-20,2025-11-01,Within from poor very debate military among lead condition popular kind kid management.
56,80,52516.64,8561.8,115,0,0,0.401,2025-04-05,2025-10-31,Professional begin expert wide party others they like thousand.
57,35,8425.67,4790.77,108,0,0,0.607,2017-11-26,2025-11-22,
58,61,39683.37,10506.88,46,0,0,0.097,2017-08-28,2025-11-17,Education street responsibility camera director direction course conference read describe action other ten bar practice.
59,51,32742.31,5728.31,108,0,0,0.833,2021-04-23,2025-10-31,Movie fly former quality although notice painting almost suggest science recently begin food break mean.
60,79,35174.3,5452.96,17,0,0,0.343,2022-11-22,2025-11-19,Risk particular gas base thing radio staff four million activity difficult get best peace.
61,31,40456.88,4718.16,112,0,0,0.659,2018-04-16,2025-11-16,First character training right create final him nothing consider.
62,65,59077.55,12269.74,32,0,0,0.996,2024-06-04,2025-10-30,Partner generation culture community community summer goal sort best thought rather mean north put yes.
63,32,24689.4,8973.77,14,0,0,0.475,2018-01-04,2025-11-24,Foot word worry just again admit seem fly key once laugh oil society serious well life.
64,164,9179.35,15111.22,23,0,0,0.215,2020-02-07,2025-11-06,Poor receive bar assume major various return again police share.
65,57,26429.2,9534.43,35,0,0,0.216,2016-07-12,2025-11-04,Sound institution situation international husband peace summer help skill magazine building.
66,70,57336.54,15638.0,59,0,0,0.06,2021-03-12,2025-11-23,Why consider to manage quite issue thought high serious cut whether reduce.
67,41,17325.13,11250.43,33,0,1,0.767,2018-08-05,2025-11-22,Fire model performance environment inside forward beyond seat soon seek thousand beat.
68,43,33420.79,6700.26,89,0,0,0.293,2021-05-11,2025-11-04,Produce whether foot report think page military still study billion.
69,77,54593.66,7323.12,50,0,0,0.173,2024-05-05,2025-11-28,Book set light people instead develop matter meet name which up agree.
70,58,41123.57,17139.36,39,0,0,0.714,2023-10-02,2025-11-11,Community good apply continue after debate politics civil common.
71,46,58930.6,14519.09,21,0,0,0.309,2019-12-26,2025-11-12,Coach future left worry business anything quality impact ahead figure hear.
72,32,11476.57,15733.79,15,0,0,0.6,2021-08-06,2025-11-06,Art cell moment institution mention part service quickly ball me learn see.
73,62,37175.86,2962.75,103,0,0,0.418,2025-06-11,2025-11-25,Plant financial office answer point offer one especially subject threat indicate talk true yes.
74,82,62057.66,-1375.84,41,0,0,0.334,2022-11-05,2025-11-14,
75,26,25096.78,3784.17,15,0,0,0.489,2016-01-22,2025-11-13,Statement look agent amount here see also month boy author rate different car.
76,18,57522.15,8827.41,4,0,0,0.314,2023-09-29,2025-11-18,Above decide add approach next key prevent increase policy first serve charge wait seat.
77,25,38464.64,4772.19,114,0,0,0.871,2016-02-17,2025-11-21,Too stop run outside two rule commercial military.
78,80,48511.94,8137.04,5,0,0,0.073,2018-03-24,2025-11-12,Of agreement language safe develop history century of.
79,28,60969.85,5743.95,41,0,0,0.03,2021-10-16,2025-11-23,Activity case outside again Republican although station investment him it ago trip.
80,25,48447.54,-823.5,87,0,0,0.406,2017-11-25,2025-10-30,Office grow own town source size various majority difference.
81,52,33131.26,10144.48,29,0,0,0.173,2019-10-31,2025-11-04,Information detail question address challenge lay commercial notice record treat home.
82,52,50430.94,8154.34,100,0,0,0.744,2021-08-16,2025-11-06,System occur series society build from baby system carry million center.
83,50,32073.0,14646.76,31,0,0,0.353,2016-12-26,2025-11-10,Nation president end player left Congress teach.
84,22,46100.5,8799.28,52,0,0,0.261,2023-11-09,2025-11-04,Agreement over soldier sister guy blue because management our including sit whole gas everything plant.
85,58,23222.36,11913.25,18,0,0,0.359,2016-11-02,2025-11-24,Kitchen order third best whether man different spring task system.
86,45,42436.42,3903.65,50,0,0,0.219,2023-07-06,2025-11-04,Employee prepare lawyer none various billion scene relationship region.
87,24,59839.4,9735.04,108,0,0,0.3,2016-07-08,2025-11-12,Popular rich past position around power bar land raise answer office at throw.
88,29,37518.45,12042.9,27,0,0,0.568,2017-09-03,2025-10-31,Relationship meet fear although from reflect call pressure true office debate skin wall deep type.
89,51,58405.36,10781.83,46,0,0,0.864,2025-09-01,2025-11-13,Statement real practice their community learn realize staff share marriage eye way commercial our.
90,50,88401.44,6867.26,71,0,0,0.371,2017-07-23,2025-11-26,Wrong moment learn age son tend may raise him lose his clear.
91,65,41565.79,9752.25,106,0,0,0.321,2023-02-19,2025-10-31,Myself security service international modern article only stuff.
92,40,51212.88,11113.73,0,0,0,0.782,2019-10-06,2025-11-25,Determine address phone role actually table bad.
93,79,49152.94,14006.94,67,0,0,0.022,2021-04-28,2025-11-11,Prove level chance movement treat each with employee budget along end break rock way present.
